nombre;ID;marca;modelo;tipo_mecanica;km_ocasion;ano_unidad;anos_vehiculo;tipo_carroceria;reductoras;traccion;score_total;puntuacion_base;ajustes_experto;dbg_score_estetica;estetica;dbg_score_premium;premium;dbg_score_singular;singular;dbg_score_altura_libre;altura_libre_suelo;dbg_score_batalla;batalla;dbg_score_altura_interior;indice_altura_interior;dbg_score_ancho;ancho;dbg_score_largo;largo;dbg_score_devaluacion;devaluacion;dbg_score_maletero_min;maletero_minimo;dbg_score_maletero_max;maletero_maximo;dbg_score_bajo_peso;peso;dbg_score_par_remolque;par;dbg_score_remolque_cf;capacidad_remolque_con_freno;dbg_score_remolque_sf;capacidad_remolque_sin_freno;dbg_score_menor_superficie;superficie_planta;dbg_score_menor_giro;diametro_giro;dbg_score_menor_largo;largo;dbg_score_menor_ancho;ancho;dbg_score_menor_alto;alto;dbg_score_deportividad;deportividad;dbg_score_menor_rel_peso_pot;relacion_peso_potencia;dbg_score_potencia;potencia_maxima;dbg_score_par_deportivo;par;dbg_score_menor_aceleracion;aceleracion_0_100;dbg_score_autonomia_max;autonomia_uso_maxima;dbg_score_autonomia_2nd;autonomia_uso_2nd_drive;dbg_score_menor_t_carga;tiempo_carga_min;dbg_score_pot_carga_ac;potencia_maxima_carga_ac;dbg_score_pot_carga_dc;potencia_maxima_carga_dc;dbg_pen_km_extremo;dbg_pen_puertas;dbg_pen_low_cost_comodidad;dbg_pen_deportividad_comodidad;dbg_pen_antiguedad;dbg_ajuste_distintivo;dbg_bonus_ocasion_ambiental;dbg_ajuste_zbe;dbg_pen_bev_reev_avent_ocas;dbg_pen_phev_avent_ocas;dbg_pen_electrif_avent_extr;dbg_bonus_car_montana;dbg_bonus_car_comercial;dbg_bonus_car_pasajeros;dbg_pen_car_no_aventura;dbg_bonus_suv_avent_ocas;dbg_bonus_tt_avent_extr;dbg_bonus_pickup_avent_extr;dbg_ajuste_objetos_especiales;dbg_bonus_car_confort;dbg_bonus_ocasion_uso_ocas;dbg_pen_electrif_uso_ocas;dbg_bonus_bev_uso_definido;dbg_pen_phev_uso_intensivo;dbg_bonus_punto_carga;dbg_ajuste_awd_aventura;dbg_bonus_awd_nieve;dbg_bonus_awd_montana;dbg_bonus_reductoras;dbg_ajuste_diesel_ciudad;dbg_ajuste_km_anuales;dbg_bonus_seguridad;seguridad;dbg_bonus_fiabilidad;fiabilidad;dbg_bonus_durabilidad;durabilidad;dbg_bonus_bajo_consumo;indice_consumo_energia;costes_de_uso;dbg_bonus_coste_uso;dbg_bonus_coste_mantenimiento;costes_mantenimiento
Land Rover Discovery Si6 HSE automatico;261882;Land Rover;Discovery;GASOLINA;181565;2017;8;TODOTERRENO;True;ALL;158.2151;51.8830;106.3321;0.6329;7.0000;0.9287;8.0000;0.1513;5.0000;21.4966;283.0000;0.8029;2923.0000;0.6067;1.5630;1.5085;2073.0000;0.7161;4970.0000;0.0650;1.0000;0.1690;1231.0000;0.2786;2500.0000;0.4127;2155.0000;2.8729;450.0000;7.1561;3500.0000;4.6880;750.0000;0.3353;10.3000;2.2767;12.7000;0.5277;4970.0000;0.2031;2073.0000;0.7559;1846.0000;0.0699;2.0000;1.6871;6.3000;0.5939;340.0000;0.5083;450.0000;1.5539;7.1000;0.8850;558.2000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.3000;-0.1667;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;-10.0000;0.9367;8.3000;0.0000;1.0000;9.8012;6.0000;10.5912;59.2000;22.2000;8.9971;3.4726;8.0000
Jeep Wrangler Soft Top 2.4 Sport;111986;Jeep;Wrangler;GASOLINA;106000;1999;26;TODOTERRENO;True;ALL;155.5973;39.1591;116.4382;0.5274;6.0000;0.6633;6.0000;0.1135;4.0000;15.2795;224.0000;0.4560;2373.0000;0.6021;1.5580;0.7509;1740.0000;0.4072;3883.0000;0.2602;4.0000;0.0428;320.0000;0.1157;1045.0000;0.5877;1585.0000;1.2222;215.0000;3.8306;1920.0000;2.7210;450.0000;0.6524;6.8000;4.2394;10.2000;0.9288;3883.0000;0.9465;1740.0000;0.8001;1782.0000;0.1398;3.0000;1.3190;11.1000;0.2026;143.0000;0.2163;215.0000;1.2766;11.9000;0.8575;541.8000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.4500;-0.3333;0.0000;-8.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.1283;2.0000;6.3731;5.0000;9.8012;6.0000;9.4574;67.1000;18.5000;12.7799;8.6815;5.0000
Suzuki Vitara 1.6 de Luxe (3-puertas);983593;Suzuki;Vitara;GASOLINA;122000;1999;26;TODOTERRENO;True;ALL;154.3684;28.6014;125.7670;0.2110;3.0000;0.1327;2.0000;0.0757;3.0000;6.4279;140.0000;0.3469;2200.0000;0.5719;1.5250;0.5006;1630.0000;0.3325;3620.0000;0.5854;9.0000;0.0265;202.0000;0.0933;845.0000;0.7350;1105.0000;0.6392;132.0000;2.9466;1500.0000;3.2128;525.0000;0.7340;5.9000;4.4750;9.9000;1.0259;3620.0000;1.1920;1630.0000;0.8809;1665.0000;0.1398;3.0000;1.2960;11.4000;0.1112;97.0000;0.1131;132.0000;1.2131;13.0000;0.5826;378.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.3500;-0.3333;0.0000;-8.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;25.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;25.0000;0.0000;-10.0000;0.1283;2.0000;14.3395;10.0000;15.6819;9.0000;7.5631;80.3000;15.5000;15.8471;13.8905;2.0000
Toyota Yaris Cross 1.5 Hybrid Adventure AWD-i CVT;321397;Toyota;Yaris Cross;HEVG;51936;2021;4;SUV;False;ALL;151.5538;34.2896;117.2642;0.3165;4.0000;0.5307;5.0000;0.0000;1.0000;12.7505;200.0000;0.5739;2560.0000;0.4530;1.3950;0.8077;1765.0000;0.4916;4180.0000;0.5854;9.0000;0.0428;320.0000;0.1215;1097.0000;0.6874;1260.0000;1.2391;217.4000;1.3681;750.0000;3.3767;550.0000;0.5981;7.4000;3.7684;10.8000;0.8192;4180.0000;0.8907;1765.0000;0.9293;1595.0000;0.0000;1.0000;1.3343;10.9000;0.1490;116.0000;0.2192;217.4000;1.2824;11.8000;0.9541;599.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.9000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0394;9.1000;14.3395;10.0000;17.6422;10.0000;13.6193;38.1000;8.4000;23.1061;10.4178;4.0000
Subaru Outback 2.0D Active Lineartronic;245593;Subaru;Outback;DIESEL;118930;2017;8;FAMILIAR;False;ALL;151.2532;38.4296;112.8236;0.2110;3.0000;0.5307;5.0000;0.0757;3.0000;12.7505;200.0000;0.6906;2745.0000;0.4621;1.4050;0.9784;1840.0000;0.6721;4815.0000;0.5854;9.0000;0.0759;559.0000;0.2056;1848.0000;0.5597;1676.0000;2.1705;350.0000;3.5780;1800.0000;4.6880;750.0000;0.4621;8.9000;2.9833;11.8000;0.5849;4815.0000;0.7232;1840.0000;0.9224;1605.0000;0.0000;1.0000;1.3113;11.2000;0.2165;150.0000;0.3840;350.0000;1.3922;9.9000;1.2154;755.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.7500;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0394;9.1000;12.7462;9.0000;17.6422;10.0000;12.9735;42.6000;10.7000;20.7546;10.4178;4.0000
Mazda CX-5 2.2 SKYACTIV-D 150 Sendo AWD automatico;242812;Mazda;CX-5;DIESEL;120000;2015;10;SUV;False;ALL;150.9989;40.6370;110.3619;0.5274;6.0000;0.5307;5.0000;0.0757;3.0000;13.8042;210.0000;0.6622;2700.0000;0.5125;1.4600;0.9784;1840.0000;0.5982;4555.0000;0.5204;8.0000;0.0682;503.0000;0.1801;1620.0000;0.6168;1490.0000;2.3812;380.0000;3.9990;2000.0000;4.6880;750.0000;0.5075;8.4000;3.0618;11.7000;0.6808;4555.0000;0.7232;1840.0000;0.8775;1670.0000;0.0000;1.0000;1.4110;9.9000;0.2165;150.0000;0.4213;380.0000;1.3748;10.2000;1.2196;757.6000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.9000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7956;7.2000;12.7462;9.0000;15.6819;9.0000;12.4568;46.2000;10.3000;21.1635;10.4178;4.0000
Hyundai Santa Fe 2.2 CRDi Style 4WD;293155;Hyundai;Santa Fe;DIESEL;82544;2019;6;SUV;False;ALL;148.0859;40.1270;107.9589;0.4220;5.0000;0.3980;4.0000;0.0000;1.0000;11.1698;185.0000;0.7032;2765.0000;0.5445;1.4950;1.0921;1890.0000;0.6593;4770.0000;0.5854;9.0000;0.0851;625.0000;0.1885;1695.0000;0.4833;1925.0000;2.8027;440.0000;5.0513;2500.0000;4.6880;750.0000;0.4531;9.0000;3.2973;11.4000;0.6015;4770.0000;0.6116;1890.0000;0.8705;1680.0000;0.3494;6.0000;1.4340;9.6000;0.3158;200.0000;0.4959;440.0000;1.4153;9.5000;1.4092;870.6000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.2000;-0.8333;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0394;9.1000;12.7462;9.0000;13.7217;8.0000;13.6193;38.1000;11.0000;20.4478;10.4178;4.0000
Mercedes-Benz ML 350 BlueTEC 4MATIC 7G-TRONIC PLUS;228924;Mercedes-Benz;Clase-M;DIESEL;96500;2013;12;SUV;False;ALL;147.9845;46.7400;101.2444;0.6329;7.0000;0.9287;8.0000;0.0378;2.0000;12.9612;202.0000;0.7978;2915.0000;0.6351;1.5940;1.1741;1926.0000;0.6690;4804.0000;0.4553;7.0000;0.0941;690.0000;0.2237;2010.0000;0.4066;2175.0000;4.0671;620.0000;7.1561;3500.0000;4.6880;750.0000;0.4259;9.3000;2.9833;11.8000;0.5890;4804.0000;0.5313;1926.0000;0.7904;1796.0000;0.5590;9.0000;1.5260;8.4000;0.4310;258.0000;0.7196;620.0000;1.5366;7.4000;1.7204;1056.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.4500;-1.3333;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9624;8.5000;9.5597;7.0000;17.6422;10.0000;13.8633;36.4000;11.9000;19.5277;3.4726;8.0000
Honda CR-V 1.5 Turbo Lifestyle AWD;294040;Honda;CR-V;GASOLINA;108311;2020;5;SUV;False;ALL;147.9162;38.2108;109.7055;0.4220;5.0000;0.5307;5.0000;0.0757;3.0000;13.5935;208.0000;0.6383;2662.0000;0.5317;1.4810;1.0125;1855.0000;0.6110;4600.0000;0.5204;8.0000;0.0762;561.0000;0.1953;1756.0000;0.5913;1573.0000;1.2574;220.0000;3.9990;2000.0000;3.7045;600.0000;0.4984;8.5000;3.2973;11.4000;0.6642;4600.0000;0.6898;1855.0000;0.8643;1689.0000;0.0000;1.0000;1.4724;9.1000;0.2622;173.0000;0.2225;220.0000;1.3980;9.8000;1.0825;675.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.9000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9752;8.6000;12.7462;9.0000;17.6422;10.0000;12.9304;42.9000;11.8000;19.6299;8.6815;5.0000
Ford Kuga 2.0 TDCi Start/Stopp Trend 4x4;259656;Ford;Kuga;DIESEL;112671;2019;6;SUV;False;ALL;147.4139;39.4267;107.9872;0.3165;4.0000;0.5307;5.0000;0.0000;1.0000;12.4343;197.0000;0.6559;2690.0000;0.5417;1.4920;0.9738;1838.0000;0.5894;4524.0000;0.2602;4.0000;0.0617;456.0000;0.1838;1653.0000;0.5518;1702.0000;2.3110;370.0000;4.2094;2100.0000;4.6880;750.0000;0.5165;8.3000;3.5329;11.1000;0.6923;4524.0000;0.7277;1838.0000;0.8643;1689.0000;0.0000;1.0000;1.3037;11.3000;0.2165;150.0000;0.4089;370.0000;1.3922;9.9000;1.4635;903.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0500;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7956;7.2000;9.5597;7.0000;13.7217;8.0000;14.0498;35.1000;9.0000;22.4926;10.4178;4.0000
Kia Sorento 2.2 CRDi Spirit AWD;284104;Kia;Sorento;DIESEL;119000;2017;8;SUV;False;ALL;147.3017;39.7398;107.5619;0.3165;4.0000;0.3980;4.0000;0.0000;1.0000;11.1698;185.0000;0.7127;2780.0000;0.5491;1.5000;1.0921;1890.0000;0.6678;4800.0000;0.5854;9.0000;0.0899;660.0000;0.1926;1732.0000;0.4922;1896.0000;2.8097;441.0000;5.0513;2500.0000;4.6880;750.0000;0.4440;9.1000;3.3759;11.3000;0.5904;4800.0000;0.6116;1890.0000;0.8671;1685.0000;0.0000;1.0000;1.4417;9.5000;0.3158;200.0000;0.4971;441.0000;1.4442;9.0000;1.3367;827.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.2000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7956;7.2000;12.7462;9.0000;13.7217;8.0000;13.2462;40.7000;11.6000;19.8344;10.4178;4.0000
Hyundai Tucson 2.0 CRDi Style Allrad;249800;Hyundai;Tucson;DIESEL;86834;2016;9;SUV;False;ALL;146.9298;37.7211;109.2087;0.4220;5.0000;0.3980;4.0000;0.0000;1.0000;9.7999;172.0000;0.6433;2670.0000;0.5244;1.4730;1.0011;1850.0000;0.5755;4475.0000;0.5854;9.0000;0.0696;513.0000;0.1670;1503.0000;0.5640;1662.0000;2.3321;373.0000;4.4199;2200.0000;4.6880;750.0000;0.5165;8.3000;3.7684;10.8000;0.7104;4475.0000;0.7009;1850.0000;0.8947;1645.0000;0.3494;6.0000;1.2346;12.2000;0.1887;136.0000;0.4126;373.0000;1.3344;10.9000;1.4203;877.2000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.2000;-0.8333;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7699;7.0000;12.7462;9.0000;13.7217;8.0000;13.6049;38.2000;9.5000;21.9814;10.4178;4.0000
Volvo XC60 D4 Inscription AWD;283869;Volvo;XC60;DIESEL;98236;2018;7;SUV;False;ALL;146.3633;42.5394;103.8239;0.5274;6.0000;0.7960;7.0000;0.0757;3.0000;14.4365;216.0000;0.7663;2865.0000;0.4960;1.4420;1.1195;1902.0000;0.6360;4688.0000;0.3903;6.0000;0.0654;483.0000;0.1566;1410.0000;0.4649;1985.0000;2.5217;400.0000;4.8409;2400.0000;4.6880;750.0000;0.4621;8.9000;2.9833;11.8000;0.6318;4688.0000;0.5848;1902.0000;0.8857;1658.0000;0.2795;5.0000;1.3727;10.4000;0.2960;190.0000;0.4462;400.0000;1.4557;8.8000;1.1605;722.4000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.4500;-0.6667;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9624;8.5000;11.1529;8.0000;15.6819;9.0000;13.6910;37.6000;11.2000;20.2434;5.2089;7.0000
Fiat 500X 2.0 MultiJet Start&Stopp Cross Plus 4x4;245391;Fiat;500X;DIESEL;91700;2015;10;SUV;False;ALL;145.6532;36.1996;109.4537;0.5274;6.0000;0.2653;3.0000;0.0378;2.0000;12.7505;200.0000;0.5802;2570.0000;0.4759;1.4200;0.8783;1796.0000;0.5181;4273.0000;0.3252;5.0000;0.0470;350.0000;0.1107;1000.0000;0.6122;1505.0000;2.1705;350.0000;2.3152;1200.0000;3.7045;600.0000;0.5709;7.7000;3.2188;11.5000;0.7849;4273.0000;0.8215;1796.0000;0.9120;1620.0000;0.0000;1.0000;1.3420;10.8000;0.1966;140.0000;0.3840;350.0000;1.4153;9.5000;1.2347;766.6000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.2000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7186;6.6000;9.5597;7.0000;11.7614;7.0000;13.7197;37.4000;8.5000;23.0038;13.8905;2.0000
BMW X3 xDrive20d Steptronic;280100;BMW;X3;DIESEL;90000;2020;5;SUV;False;ALL;145.2399;42.2191;103.0208;0.6329;7.0000;0.9287;8.0000;0.0378;2.0000;13.1720;204.0000;0.7657;2864.0000;0.5234;1.4720;1.0944;1891.0000;0.6417;4708.0000;0.4553;7.0000;0.0747;550.0000;0.1778;1600.0000;0.5140;1825.0000;2.5217;400.0000;4.8409;2400.0000;4.6880;750.0000;0.4621;8.9000;2.8263;12.0000;0.6244;4708.0000;0.6094;1891.0000;0.8733;1676.0000;0.5590;9.0000;1.4340;9.6000;0.2960;190.0000;0.4462;400.0000;1.5019;8.0000;1.5174;935.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.4500;-1.3333;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.8725;7.8000;11.1529;8.0000;15.6819;9.0000;13.9494;35.8000;9.8000;21.6747;3.4726;8.0000
Volvo XC40 D3 AWD;287946;Volvo;XC40;DIESEL;68000;2018;7;SUV;False;ALL;144.8735;40.4696;104.4039;0.5274;6.0000;0.7960;7.0000;0.0757;3.0000;13.9096;211.0000;0.6635;2702.0000;0.4951;1.4410;1.0307;1863.0000;0.5613;4425.0000;0.3903;6.0000;0.0578;428.0000;0.1447;1304.0000;0.5260;1786.0000;2.1705;350.0000;3.9990;2000.0000;4.6880;750.0000;0.5256;8.2000;2.9833;11.8000;0.7288;4425.0000;0.6719;1863.0000;0.8899;1652.0000;0.2795;5.0000;1.2576;11.9000;0.2165;150.0000;0.3840;350.0000;1.3748;10.2000;1.1221;699.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.4500;-0.6667;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9110;8.1000;11.1529;8.0000;15.6819;9.0000;13.5045;38.9000;10.4000;21.0613;5.2089;7.0000
Skoda Kodiaq 2.0 TDI SCR Style 4x4 DSG;321064;Skoda;Kodiaq;DIESEL;85866;2021;4;SUV;False;ALL;144.5644;38.4130;106.1514;0.2110;3.0000;0.2653;3.0000;0.0378;2.0000;12.6451;199.0000;0.7177;2788.0000;0.5326;1.4820;1.0739;1882.0000;0.6386;4697.0000;0.1951;3.0000;0.1142;835.0000;0.2299;2065.0000;0.5257;1787.0000;2.1003;340.0000;4.6304;2300.0000;4.6880;750.0000;0.4712;8.8000;2.6693;12.2000;0.6284;4697.0000;0.6295;1882.0000;0.8699;1681.0000;0.0000;1.0000;1.2576;11.9000;0.2165;150.0000;0.3716;340.0000;1.4095;9.6000;1.2838;795.9000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.2000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9624;8.5000;9.5597;7.0000;11.7614;7.0000;13.6480;37.9000;10.2000;21.2658;12.1541;3.0000
Mazda CX-5 SKYACTIV-G 165 Homura AWD;319048;Mazda;CX-5;GASOLINA;82312;2020;5;SUV;False;ALL;144.2910;37.3301;106.9609;0.5274;6.0000;0.5307;5.0000;0.0757;3.0000;12.0128;193.0000;0.6622;2700.0000;0.5372;1.4870;0.9784;1840.0000;0.5968;4550.0000;0.5204;8.0000;0.0686;506.0000;0.1801;1620.0000;0.5855;1592.0000;1.2082;213.0000;3.5780;1800.0000;4.6880;750.0000;0.5075;8.4000;3.6114;11.0000;0.6827;4550.0000;0.7232;1840.0000;0.8705;1680.0000;0.0000;1.0000;1.4340;9.6000;0.2463;165.0000;0.2138;213.0000;1.3402;10.8000;0.9506;597.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.9000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0394;9.1000;12.7462;9.0000;15.6819;9.0000;12.0837;48.8000;13.5000;17.8919;10.4178;4.0000
Kia Sportage 1.6 T-GDI Hybrid Spirit AWD automatico;325176;Kia;Sportage;HEVG;90981;2023;2;SUV;False;ALL;143.7275;35.9510;107.7764;0.3165;4.0000;0.3980;4.0000;0.0000;1.0000;9.5892;170.0000;0.6496;2680.0000;0.5308;1.4800;1.0353;1865.0000;0.5868;4515.0000;0.5854;9.0000;0.0798;587.0000;0.1975;1776.0000;0.5478;1715.0000;2.1705;350.0000;3.2623;1650.0000;4.6880;750.0000;0.5075;8.4000;3.6899;10.9000;0.6956;4515.0000;0.6674;1865.0000;0.8913;1650.0000;0.0000;1.0000;1.5951;7.5000;0.3754;230.0000;0.3840;350.0000;1.4846;8.3000;1.0227;640.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.2000;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0137;8.9000;12.7462;9.0000;13.7217;8.0000;13.4471;39.3000;11.8000;19.6299;10.4178;4.0000
Subaru Forester 2.0D Active Lineartronic;245438;Subaru;Forester;DIESEL;149226;2017;8;SUV;False;ALL;143.6435;41.2646;102.3789;0.2110;3.0000;0.5307;5.0000;0.0757;3.0000;14.8580;220.0000;0.6244;2640.0000;0.5628;1.5150;0.8760;1795.0000;0.6138;4610.0000;0.5854;9.0000;0.0685;505.0000;0.1738;1564.0000;0.5754;1625.0000;2.1705;350.0000;3.9990;2000.0000;4.6880;750.0000;0.5165;8.3000;3.2973;11.4000;0.6605;4610.0000;0.8237;1795.0000;0.8325;1735.0000;0.0000;1.0000;1.3190;11.1000;0.2105;147.0000;0.3840;350.0000;1.3922;9.9000;1.2154;755.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.7500;-0.0000;0.0000;5.0000;8.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.0000;0.0000;0.0000;0.0000;0.0000;0.0000;20.0000;0.0000;0.0000;0.0000;0.0000;-10.0000;0.7956;7.2000;12.7462;9.0000;17.6422;10.0000;12.7726;44.0000;10.7000;20.7546;10.4178;4.0000
